country_name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antarctica,0,0,0,0,0,0,1,0,0,0
Argentina,0,0,0,0,0,0,2,1,0,0
Australia,0,6,10,34,43,45,29,36,33,20
Austria,0,0,0,0,0,0,0,1,1,0
Bangladesh,0,0,0,0,0,0,0,0,1,6
Belgium,0,0,0,1,0,1,2,3,0,0
Botswana,0,0,0,0,0,1,0,1,0,0
Brazil,0,0,6,5,5,0,2,0,1,1
Canada,8,11,26,25,43,29,23,19,20,9
China,0,1,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,1,0
Costa Rica,0,0,0,0,1,0,0,0,0,0
Cyprus,0,0,1,0,0,0,0,0,0,0
Czechia,0,0,0,0,0,0,1,0,0,0
Denmark,0,0,1,0,2,2,1,3,2,2
Estonia,0,0,0,0,0,0,1,1,0,0
Ethiopia,0,0,0,0,0,4,20,3,3,2
Finland,0,0,0,2,0,0,0,2,0,0
France,1,2,0,1,3,0,2,2,0,1
Gabon,0,0,0,0,0,1,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,1,2
Germany,0,3,3,4,4,9,15,24,21,24
Ghana,0,0,1,0,0,1,0,0,1,2
Greece,0,0,0,0,1,0,1,2,0,0
Hungary,0,0,0,0,0,0,1,1,1,0
India,0,0,0,1,0,0,1,0,0,0
Indonesia,0,0,0,1,0,0,0,1,0,0
"Iran, Islamic Republic of",0,0,0,0,0,0,0,0,1,1
Ireland,0,0,0,0,0,0,4,1,0,0
Israel,0,0,0,0,0,0,0,1,0,0
Italy,1,0,1,0,2,1,3,5,1,2
Japan,0,0,0,0,0,0,0,2,0,1
Jordan,0,0,1,0,0,0,0,0,0,0
Kenya,0,0,0,1,1,0,0,1,0,1
"Korea, Republic of",0,0,0,4,1,0,1,0,0,0
Lebanon,0,1,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,2,0
Mauritius,0,0,0,0,0,1,0,0,0,1
Mexico,0,0,0,0,1,1,1,0,7,5
Namibia,0,0,0,0,1,1,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,1,0
Netherlands,0,1,0,3,2,2,5,11,13,15
New Zealand,0,1,0,7,14,9,10,28,14,6
Nicaragua,0,0,0,0,0,0,0,1,0,0
Norway,1,1,1,4,12,12,15,10,13,9
Pakistan,0,0,0,0,0,0,1,0,0,0
Peru,0,0,0,0,0,0,0,3,0,0
Philippines,0,0,0,0,1,0,0,0,0,0
Poland,0,1,1,2,4,1,0,0,0,1
Portugal,0,0,0,0,0,0,1,1,0,0
Puerto Rico,0,0,0,0,1,0,2,3,1,3
Qatar,0,0,0,0,0,0,0,1,0,0
Saudi Arabia,0,1,0,0,0,0,0,8,7,5
Singapore,0,0,0,0,0,0,0,2,1,1
Slovenia,0,0,0,1,0,0,0,2,0,0
Somalia,0,0,0,0,0,0,0,1,0,0
South Africa,0,1,1,5,6,13,3,11,11,12
Spain,0,0,1,1,1,2,3,4,0,0
Sudan,0,0,0,0,0,0,2,0,0,0
Sweden,0,0,1,1,1,1,5,4,2,3
Switzerland,0,0,2,4,5,2,3,5,2,0
Thailand,0,0,0,1,0,1,0,0,0,0
United Kingdom,7,14,21,26,36,47,52,64,53,44
United States,20,49,66,142,167,186,223,287,239,158
"Venezuela, Bolivarian Republic of",0,0,0,1,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,1,0,0,0